Country,Alcoholic Beverages,Animal Products,Animal fats,"Aquatic Products, Other",Cereals - Excluding Beer,Eggs,"Fish, Seafood",Fruits - Excluding Wine,Meat,Milk - Excluding Butter,Offals,Oilcrops,Pulses,Spices,Starchy Roots,Stimulants,Sugar Crops,Sugar & Sweeteners,Treenuts,Vegetal Products,Vegetable Oils,Vegetables,Miscellaneous,Obesity,Undernourished,Confirmed,Deaths,Recovered,Active,Population
Malta,0.26,28.78,0.07,0,13.74,1.61,3.63,0.58,13.99,9.2,0.28,0.58,1.03,0.08,0.7,0.62,0,0,0.37,21.23,0.02,3.15,0.1,31,0,3.56,0.05,3.05,0.46,522000
Mauritania,0,18.44,0.02,0,25.34,0.45,1.63,0.23,7.23,7.97,1.13,0.33,3.83,0.01,0.24,0.6,0,0,0,31.56,0.01,0.83,0.14,11.3,10.4,0.36,0.01,0.34,0.01,4650000
Mauritius,0.23,21.85,0.05,0.01,20.51,1.03,4.12,0.36,10.54,5.75,0.34,0.78,3.27,0.37,0.44,0.38,0,0,0.1,28.15,0.02,1.33,0.36,11.5,6.5,0.05,0,0.04,0,1265000
Mexico,0.28,23.44,0.01,0.02,19.37,2.86,2.33,0.9,11.12,5.69,1.42,0.69,3.11,0.35,0.31,0.08,0,0.04,0.14,26.56,0.02,1.25,0.01,28.4,3.6,1.51,0.13,1.16,0.22,127792000
Mongolia,0.24,34.07,0.11,0,13.09,0.78,0.1,0.09,19.81,9.77,3.5,0.09,0.15,0.01,0.8,0.4,0,0,0.02,15.93,0.02,0.86,0.17,19.6,13.4,0.06,0,0.04,0.02,3361000
Montenegro,0.16,30.3,0.09,0,13.72,1.56,1.66,0.91,11.54,14.95,0.51,0.32,1.24,0.05,0.51,0.82,0,0,0.26,19.7,0.02,1.35,0.33,24.9,0,10.41,0.13,9.04,1.23,622000
Morocco,0.02,13.99,0.03,0,29.91,0.99,3.25,0.85,6.57,2.53,0.63,0.08,1.56,0.32,1,0.35,0,0,0.48,36.01,0.01,1.42,0.02,25.6,3.4,1.32,0.02,1.26,0.04,35952000
Mozambique,0.16,8.78,0,0,24.96,0.55,3.25,0.58,3.03,1.56,0.4,0.62,7.65,0.01,5.78,0.28,0,0,0.23,41.22,0,0.86,0.08,6,27.9,0.14,0,0.09,0.05,31166000
Myanmar,0.02,23.93,0.09,0,16,0.85,8.78,0.4,10.27,3.22,0.7,1.63,4.6,0.43,0.28,0.31,0,0.26,0.25,26.08,0,1.82,0.08,5.7,10.6,0,0,0,0,54704000
Namibia,0.39,18.31,0.05,0.01,19.52,0.32,2.76,0.43,9.61,4.62,0.94,0.47,4.13,0.35,5.08,0.25,0,0,0.04,31.69,0.02,0.76,0.23,15,27.3,1.37,0.01,1.31,0.04,2541000
