Country,Alcoholic Beverages,Animal Products,Animal fats,"Aquatic Products, Other",Cereals - Excluding Beer,Eggs,"Fish, Seafood",Fruits - Excluding Wine,Meat,Milk - Excluding Butter,Miscellaneous,Offals,Oilcrops,Pulses,Spices,Starchy Roots,Stimulants,Sugar Crops,Sugar & Sweeteners,Treenuts,Vegetal Products,Vegetable Oils,Vegetables,Obesity,Undernourished,Confirmed,Deaths,Recovered,Active,Population
Brazil,1.43,13.21,1.52,0,14.59,0.45,0.23,1.72,7.16,3.74,0,0.11,0.72,2.03,0.02,1.79,0.14,0.18,6.33,0.08,36.8,7.2,0.55,22.3,0,4.46,0.11,3.98,0.37,211812000
Bulgaria,3.68,12.29,2.46,0,17.93,0.58,0.28,1.77,4.31,4.39,0.09,0.27,0.64,0.35,1.22,0.9,0.21,0,4.65,0.14,37.72,5.25,0.87,27.4,3.6,3.23,0.13,2.79,0.3,6927000
Burkina Faso,2.52,2.79,0.13,0,31.61,0.15,0.26,0.15,1.16,1.01,0.04,0.09,3.68,2.43,0.06,0.48,0.02,0,1.77,0.07,47.2,4.21,0.2,4.5,20,0.05,0,0.05,0.01,20903000
Cabo Verde,1.25,8.53,1.05,0,23.82,0.34,0.4,1.45,3.44,3.22,0.44,0.08,0.44,2.21,0.5,1.89,0.18,0,3.62,0.06,41.47,4.49,1.13,10.6,12.6,2.59,0.02,2.46,0.1,556000
Cambodia,1.42,4.04,0.1,0,33.02,0.1,1.78,0.65,1.78,0.2,0.18,0.08,1.86,0.93,0.14,1.7,0.04,0.14,4.19,0.04,45.94,1.31,0.36,3.5,16.4,0,0,0,0,15497000
Cameroon,1.53,2.17,0.15,0,20.52,0.02,0.55,3.5,1,0.41,0.06,0.06,2.39,3.56,0.66,8.12,0.04,0,1.6,0.32,47.82,4.15,1.38,9.5,9.9,0.12,0,0.11,0.01,26598000
Canada,1.57,12.7,3.97,0,13.03,0.77,0.53,1.82,4.8,2.62,0.26,0.01,1.32,1.57,0.14,1.52,0.24,0,6.2,0.59,37.29,7.96,1.09,31.3,0,2.11,0.05,1.91,0,38190000
Central African Republic,0.54,7.39,0.74,0,8.96,0.06,0.43,1.91,4.98,0.88,0.03,0.34,2.3,2.27,0,19.68,0.09,0,1.71,0,42.59,4.81,0.31,6.3,59.6,0.1,0,0.1,0,4830000
Chad,0.14,6.94,0.77,0,27.81,0.02,0.48,0.31,3.02,2.03,0.02,0.6,5.55,2.03,0,3.18,0,0,2.08,0,43.08,1.82,0.1,4.8,37.5,0.02,0,0.02,0,16877000
Chile,1.59,12.35,1.38,0,19.58,0.63,0.4,1.28,7.42,2.49,0.08,0.03,0.38,0.58,0.03,2.14,0.18,0,7.64,0.23,37.65,2.82,1.1,28.8,2.7,3.84,0.1,3.63,0,19470000
China,1.28,16.18,1.18,0.02,17.38,1.23,1.29,1.29,9.89,1.89,0.51,0.67,1.05,0.17,0.08,1.4,0.48,0.01,3.34,0.78,33.82,3.58,2.46,6.6,8.5,0.01,0,0.01,0,1402385000
Colombia,0.99,8.85,0.44,0,15.33,0.74,0.24,4.69,4.07,3.25,0.05,0.13,0.34,0.82,0.08,2.8,0.1,0.02,9.55,0.18,41.14,5.59,0.61,22.1,4.8,4.35,0.11,4.09,0.15,49444000
Congo,1.62,4.98,0.07,0,12.65,0.04,1.17,1.88,3.18,0.28,0.11,0.24,1.23,0.61,0,17.78,0.13,0,3.55,0,45.02,4.7,0.76,8.4,40.3,0.57,0.01,0.38,0.18,5518000
Costa Rica,1.21,11.35,1.97,0,14.5,0.63,0.73,2.22,3.04,4.89,0.07,0.08,0.53,1.78,0.08,0.81,0.25,0,8.41,0.13,38.67,7.93,0.71,25.7,4.8,3.84,0.05,3.06,0.74,5111000
