Country,Alcoholic Beverages,Animal fats,Animal Products,"Aquatic Products, Other",Cereals - Excluding Beer,Eggs,"Fish, Seafood",Fruits - Excluding Wine,Meat,Milk - Excluding Butter,Miscellaneous,Offals,Oilcrops,Pulses,Spices,Starchy Roots,Stimulants,Sugar & Sweeteners,Sugar Crops,Treenuts,Vegetable Oils,Vegetables,Vegetal Products,Obesity,Undernourished,Confirmed,Deaths,Recovered,Active,Population
Jordan,0.08,0.12,9.32,0,14.14,0.33,0.6,4.66,3.87,4.26,0.36,0.14,0.73,0.64,0.05,2.14,0.37,4.73,0,0.17,1.99,10.63,40.68,33.4,12.2,3.13,0.04,2.99,0.09,10679000
Kazakhstan,2.19,0.36,19.16,0,6.51,0.46,0.24,3.21,3.45,14.36,0.3,0.29,0.12,0.03,0.01,5.48,0.13,1.46,0,0.08,1.12,10.21,30.84,21.3,0,1.3,0.02,1.14,0.14,18732000
Kenya,1.97,0.12,11.44,0,15.12,0.14,0.43,4.69,1.73,8.8,0.03,0.21,0.27,1.75,0.02,7.58,0.22,1.81,0,0.09,0.67,4.35,38.56,6,29.4,0.19,0,0.16,0.03,53528000
Kiribati,0.3,0.05,8.9,0,8.27,0.16,6.11,5.89,2.39,0.16,0.51,0.04,9.99,0,0.01,7.18,0.03,4.14,0,0.2,0.44,4.14,41.1,45.6,2.7,0,0,0,0,125000
"Korea, North",0.9,0,3.39,0,17.94,0.47,1.16,6.14,1.39,0.31,0.07,0.07,0.21,1.1,0,6.24,0.01,0.37,0,0.04,0.78,12.81,46.6,7.1,47.8,0,0,0,0,25779000
"Korea, South",4.87,0.26,11.82,1.68,11.73,0.64,3.44,3.7,4.42,1.14,0,0.24,0.56,0.07,0.03,0.98,0.09,2.48,0,0.17,1.17,12.33,38.18,4.9,0,0.16,0,0.14,0.02,51781000
Kuwait,0,0,10.72,0,11.41,1.33,0.83,5.31,4.88,3.48,0.86,0.2,0.28,0.44,0.2,3.23,0.27,2.92,0.03,0.15,1.2,13,39.28,37,2.8,3.62,0.02,3.43,0.17,4691000
Kyrgyzstan,0.63,0.19,15.46,0,10.11,0.27,0.07,2.28,1.87,12.8,0.21,0.26,0.01,0.34,0.02,5.81,0.06,3.25,0,0.14,0.36,11.32,34.54,15.4,7.1,1.29,0.02,1.24,0.03,6594000
Lao People's Democratic Republic,0.79,0.1,3.66,0,16.39,0.11,1.42,8.82,1.71,0.16,0.34,0.16,0.36,0.15,0.13,3.48,0.99,1.11,1.93,0,0.21,11.64,46.34,4.5,16.5,0,0,0,0,7242000
Latvia,5.46,1.18,18.82,0,6.4,0.66,1.32,2.57,3.66,11.83,0.26,0.17,0.11,0,0.01,6.58,0.2,2.62,0,0.08,0.7,6.19,31.18,25.7,0,3.75,0.07,3.12,0.56,1902000
Lebanon,0.72,0.08,8.07,0,11.83,0.17,0.71,6.99,1.95,5.07,0.07,0.09,0.51,0.5,0.04,3.27,0.36,5.14,0,0.53,1.48,10.51,41.93,31.3,11,4.66,0.05,2.95,1.66,6825000
Lesotho,3.41,0.02,6.09,0,23.46,0.12,0.24,1.81,2.53,2.79,0.39,0.39,0.07,1.16,0.12,7.19,0.04,2.21,0,0.01,0.68,3.37,43.9,13.5,13.1,0.44,0.01,0.13,0.3,2142000
Liberia,1.03,0.03,3.76,0,16.15,0.16,0.78,5.36,2.41,0.15,0.3,0.23,0.42,0.1,0,15.36,0.01,1.12,1.18,0.08,1.96,3.17,46.24,8.6,37.2,0.04,0,0.03,0,5058000
Lithuania,5.54,0.53,23.05,0,6.47,0.7,1.54,2.4,3.79,16.35,0.01,0.13,0.09,0.44,0.05,2.28,0.22,4.5,0,0.06,0.49,4.4,26.95,28.4,0,6.67,0.1,4.94,1.62,2794000
Luxembourg,8.09,0.54,14.6,0.01,5.14,0.79,1.62,4.48,4.05,7.49,0.39,0.1,0.17,0.04,0.06,2.21,1.28,8.11,0,0.03,0.56,4.85,35.38,24.2,0,8.15,0.09,7.66,0.4,632000
Madagascar,0.8,0.04,4.91,0,19.96,0.08,0.63,5.07,1.46,2.5,0.08,0.2,0.18,0.37,0.05,14.47,0.21,1.09,0.59,0.03,0.31,1.89,45.09,4.5,44.4,0.07,0,0.07,0,27691000
Malawi,1.18,0.08,2.78,0,10.62,0.08,0.7,8.47,1.49,0.25,0.04,0.17,0.54,1.18,0.01,20.29,0.04,0.64,0,0.02,0.2,3.98,47.22,4.7,17.5,0.14,0,0.06,0.08,19130000
Malaysia,0.89,0.09,12.64,0.02,17.31,1.66,5.35,4.17,4.91,0.53,0.15,0.08,0.58,0.26,0.45,1.66,0.1,3.9,0,0.08,1.63,6.17,37.36,15.3,2.5,0.73,0,0.57,0.16,32781000
Maldives,0.69,0,14.27,0.01,11.54,1.14,8.8,6.08,2.01,2.32,3.03,0,0.21,0.08,0.34,1.64,0.4,2.98,0.1,0.76,0.18,7.72,35.72,7.9,10.3,3.08,0.01,2.69,0.38,541000
Mali,2.89,0.04,10.16,0,19.86,0.06,0.75,3.9,1.91,7.12,0.18,0.27,0.49,0.8,0.06,2.68,0.06,0.88,0,0.24,0.51,7.29,39.83,7.1,6.3,0.04,0,0.03,0.01,20251000
Malta,3.91,0.21,13.61,0,7.9,0.67,1.79,4.63,4.61,6.25,0.03,0.07,0.29,0.22,0.03,2.06,0.21,5.22,0,0.12,0.49,11.29,36.39,31,0,3.56,0.05,3.05,0.46,522000
Mauritania,0.01,0.11,15.02,0,20.49,0.25,1,1.3,3.4,9.83,0.75,0.43,0.08,1.1,0.01,1.02,0.37,4.32,0,0,1.57,3.98,34.98,11.3,10.4,0.36,0.01,0.34,0.01,4650000
Mauritius,3.08,0.01,9.27,0.01,17.19,0.59,2.13,3.57,4.7,1.72,1.05,0.12,0.45,0.86,0.18,1.83,0.16,3.57,0,0.04,2.05,6.71,40.72,11.5,6.5,0.05,0,0.04,0,1265000
